aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_time_min
CJ,Flatwing,0,-10,41000,0.7,0,244
CJ,Flatwing,0,-10,41000,0.69,0,244
CJ,Flatwing,0,-10,41000,0.68,0,244
CJ,Flatwing,0,-10,39000,0.7,0,226
CJ,Flatwing,0,-10,39000,0.69,0,226
CJ,Flatwing,0,-10,39000,0.68,0,226
CJ,Flatwing,0,-10,37000,0.7,0,210
CJ,Flatwing,0,-10,37000,0.69,0,210
CJ,Flatwing,0,-10,37000,0.68,0,210
CJ,Flatwing,0,0,41000,0.7,0,254
CJ,Flatwing,0,0,41000,0.69,0,254
CJ,Flatwing,0,0,41000,0.68,0,254
CJ,Flatwing,0,0,39000,0.7,0,235
CJ,Flatwing,0,0,39000,0.69,0,235
CJ,Flatwing,0,0,39000,0.68,0,235
CJ,Flatwing,0,0,37000,0.7,0,218
CJ,Flatwing,0,0,37000,0.69,0,218
CJ,Flatwing,0,0,37000,0.68,0,218
CJ,Flatwing,0,10,41000,0.7,0,261
CJ,Flatwing,0,10,41000,0.69,0,261
CJ,Flatwing,0,10,41000,0.68,0,261
CJ,Flatwing,0,10,39000,0.7,0,244
CJ,Flatwing,0,10,39000,0.69,0,244
CJ,Flatwing,0,10,39000,0.68,0,244
CJ,Flatwing,0,10,37000,0.7,0,226
CJ,Flatwing,0,10,37000,0.69,0,226
CJ,Flatwing,0,10,37000,0.68,0,226
CJ,Flatwing,0,20,41000,0.7,0,261
CJ,Flatwing,0,20,41000,0.69,0,261
CJ,Flatwing,0,20,41000,0.68,0,261
CJ,Flatwing,0,20,39000,0.7,0,255
CJ,Flatwing,0,20,39000,0.69,0,255
CJ,Flatwing,0,20,39000,0.68,0,255
CJ,Flatwing,0,20,37000,0.7,0,235
CJ,Flatwing,0,20,37000,0.69,0,235
CJ,Flatwing,0,20,37000,0.68,0,235
CJ,Tamarack,0,-10,41000,0.7,0,245
CJ,Tamarack,0,-10,41000,0.69,0,245
CJ,Tamarack,0,-10,41000,0.68,0,245
CJ,Tamarack,0,-10,39000,0.7,0,226
CJ,Tamarack,0,-10,39000,0.69,0,226
CJ,Tamarack,0,-10,39000,0.68,0,227
CJ,Tamarack,0,-10,37000,0.7,0,210
CJ,Tamarack,0,-10,37000,0.69,0,210
CJ,Tamarack,0,-10,37000,0.68,0,211
CJ,Tamarack,0,0,41000,0.7,0,255
CJ,Tamarack,0,0,41000,0.69,0,255
CJ,Tamarack,0,0,41000,0.68,0,255
CJ,Tamarack,0,0,39000,0.7,0,235
CJ,Tamarack,0,0,39000,0.69,0,235
CJ,Tamarack,0,0,39000,0.68,0,235
CJ,Tamarack,0,0,37000,0.7,0,218
CJ,Tamarack,0,0,37000,0.69,0,218
CJ,Tamarack,0,0,37000,0.68,0,219
CJ,Tamarack,0,10,41000,0.7,0,267
CJ,Tamarack,0,10,41000,0.69,0,267
CJ,Tamarack,0,10,41000,0.68,0,267
CJ,Tamarack,0,10,39000,0.7,0,245
CJ,Tamarack,0,10,39000,0.69,0,245
CJ,Tamarack,0,10,39000,0.68,0,245
CJ,Tamarack,0,10,37000,0.7,0,226
CJ,Tamarack,0,10,37000,0.69,0,226
CJ,Tamarack,0,10,37000,0.68,0,227
CJ,Tamarack,0,20,41000,0.7,0,280
CJ,Tamarack,0,20,41000,0.69,0,280
CJ,Tamarack,0,20,41000,0.68,0,280
CJ,Tamarack,0,20,39000,0.7,0,255
CJ,Tamarack,0,20,39000,0.69,0,255
CJ,Tamarack,0,20,39000,0.68,0,255
CJ,Tamarack,0,20,37000,0.7,0,235
CJ,Tamarack,0,20,37000,0.69,0,235
CJ,Tamarack,0,20,37000,0.68,0,236
